dr7objid,ra,dec,label
587732591714893851,179.04298400878906,60.52251815795898,spiral
588009368545984617,135.0843963623047,52.494239807128906,spiral
587741723357282317,186.251953125,28.558597564697266,spiral
587729751132209314,246.92138671875,40.92696762084961,elliptical
587735742617616406,243.14675903320312,29.365066528320312,spiral
587738574068908121,195.2780303955078,39.84147262573242,elliptical
587728668803793002,119.61712646484376,37.786617279052734,elliptical
587742012763668552,224.8651580810547,16.645097732543945,elliptical
587741600954712088,175.63687133789062,26.488887786865234,elliptical
587739809961148431,239.45672607421875,16.3101806640625,elliptical
587739405705150546,176.05821228027344,33.5145149230957,elliptical
587729158986203270,239.94569396972656,2.7127621173858643,elliptical
587733081886490754,183.5918731689453,56.01143646240234,spiral
588018056733130844,240.66896057128903,37.359493255615234,spiral
587739827662290999,208.80577087402344,25.05179786682129,elliptical
588017979953643559,147.46713256835938,34.714115142822266,elliptical
587742616173740156,243.51370239257807,14.282114028930664,spiral
587736808845475892,223.9803009033203,11.861526489257812,elliptical
587733603732291636,249.15481567382807,36.20042037963867,elliptical
587731511544315973,46.88457107543945,-0.9645394086837769,elliptical
587733604267131173,245.8189392089844,39.91987609863281,spiral
587739407874719751,233.8435516357422,25.2971305847168,elliptical
587729652349141047,249.1356964111328,39.02787399291992,spiral
587736915142574202,221.75042724609372,11.592020988464355,spiral
587730021722357790,229.75607299804688,4.52077579498291,elliptical
588009365861498889,136.79623413085938,50.71274566650391,spiral
587746210521153554,164.1836395263672,9.758912086486816,elliptical
587736899038216319,243.19552612304688,27.98733139038086,elliptical
587735664778477588,238.75804138183597,41.57833480834961,elliptical
587725472807518284,154.0959014892578,60.234893798828125,elliptical
587733431925080181,255.9937438964844,24.17766571044922,elliptical
588007005805281492,249.3756561279297,44.144493103027344,elliptical
587737809030152231,116.65711975097656,44.79051971435547,spiral
587728930807808089,139.72715759277344,50.02067184448242,elliptical
587741488761208838,168.2933349609375,27.81822395324707,elliptical
588016892788211725,160.85604858398438,40.77421188354492,spiral
588017603624697979,226.13629150390625,35.965023040771484,elliptical
587733441588625563,245.4302673339844,37.99604797363281,elliptical
587742610812698666,242.13650512695312,9.60671329498291,elliptical
587736477596778665,230.4803009033203,8.423770904541016,elliptical
587742864214523914,184.47300720214844,17.44210433959961,spiral
588013382727958586,134.1363525390625,39.14104461669922,elliptical
587739827675922452,240.5709381103516,15.974654197692873,elliptical
587736584436777018,236.9414978027344,28.64169311523437,spiral
587735660479119437,160.46142578125,38.71680450439453,spiral
587722983904444445,218.52438354492188,0.6200882196426392,elliptical
588017991236845602,227.88075256347656,7.251974582672119,elliptical
587734305413529813,330.816650390625,0.571093738079071,spiral
587729653421113535,246.8551483154297,42.679718017578125,elliptical
587742589330128914,238.34657287597656,11.95917797088623,spiral
587726032268361917,225.33810424804688,1.637075424194336,spiral
588848900980670532,166.88168334960938,0.7831036448478699,spiral
587741532236349588,140.72108459472656,21.97518348693848,spiral
587745969466900535,245.797119140625,16.93260383605957,elliptical
587736782002454592,253.10952758789065,23.332582473754883,spiral
587741489834754166,167.73277282714844,28.54380798339844,elliptical
587742013298245704,219.6057281494141,18.184011459350582,elliptical
587735348025884757,155.84898376464844,12.835049629211426,elliptical
588017992312684614,232.8253326416016,7.457752704620361,spiral
587735696987390006,212.5066070556641,54.88172149658203,elliptical
587733412064723046,237.4093475341797,42.03422164916992,elliptical
587742590403608636,238.01528930664065,12.898704528808594,elliptical
587746210521088047,164.06448364257812,9.754435539245604,spiral
588017992312488233,232.3734436035156,7.573247909545898,elliptical
587725551200829458,132.59503173828125,55.37872314453125,elliptical
587741710490861602,168.01393127441406,27.589778900146484,elliptical
587739406261485707,227.27853393554688,26.50992774963379,elliptical
587733433533923498,254.1271514892578,27.9775333404541,irregular
587739651571318892,239.1403045654297,20.05235481262207,elliptical
587739719763558489,218.94058227539065,24.72579574584961,spiral
587729653422948486,250.11672973632807,39.32014465332031,elliptical
587739720834809880,212.98341369628903,27.113903045654297,elliptical
587733603728949419,242.717529296875,41.88582229614258,elliptical
587739380987985959,219.0640411376953,29.908382415771484,elliptical
588017111290150975,165.04747009277344,45.73783493041992,spiral
587739708486254659,222.39926147460935,25.38133430480957,spiral
587733608552923224,245.2242126464844,40.10414505004883,spiral
587736543095947393,224.3992156982422,8.285269737243652,spiral
587739719773126823,240.88368225097656,17.198688507080078,elliptical
587730847424315402,313.0932312011719,0.0757270008325576,spiral
588018055653228553,224.6499481201172,44.88360977172852,spiral
587736975274410107,235.6911773681641,24.9860782623291,elliptical
587742615099408550,241.89727783203125,13.943710327148438,elliptical
587736940910674005,221.6390380859375,33.40860366821289,elliptical
587739720308883488,238.60101318359372,18.65199279785156,elliptical
588017990149996643,197.7705841064453,8.80785846710205,elliptical
587731511532453955,19.723426818847656,-1.0020004510879517,elliptical
587725818568048689,222.3399200439453,63.27056121826172,spiral
587725552810459178,128.4221954345703,54.54932022094727,elliptical
587735665855234093,245.83775329589844,37.258392333984375,spiral
587742615099408490,241.84564208984372,13.887913703918455,elliptical
587729160055423140,229.7646331787109,4.333646297454834,elliptical
588010135194697973,143.99533081054688,54.61083984375,elliptical
588848900441899030,162.49522399902344,0.3223000764846802,elliptical
587726101491613906,232.37648010253903,3.4676496982574463,elliptical
587733432461623574,255.83706665039065,24.936058044433597,spiral
588018254288584713,224.37095642089844,45.84550094604492,elliptical
588295841785249833,176.28858947753906,49.71878433227539,elliptical
587731185136435215,14.258540153503418,-0.875198245048523,elliptical
587742014372380829,220.79925537109372,18.87995338439941,spiral
587737825679048796,128.82275390625,55.82884216308594,spiral
587735665319477506,247.66197204589844,35.0564079284668,spiral
587741532247359602,167.66014099121094,28.316808700561523,elliptical
587741532783902752,166.69354248046875,28.719539642333984,elliptical
588017977818153017,181.63848876953125,39.23766708374024,spiral
588017703457390679,156.78245544433594,11.010719299316406,elliptical
587733603187621900,231.70086669921875,48.6149787902832,elliptical
588013382727041059,132.0428924560547,37.75537109375,elliptical
587733079198662698,170.4876251220703,52.96278762817383,elliptical
587733196235014168,199.5683441162109,53.96520614624024,elliptical
587742013271900177,155.65725708007812,19.39685440063477,elliptical
587736619865407501,248.2567443847656,22.79739761352539,elliptical
587739407323693063,197.8443145751953,34.41804504394531,elliptical
587739811560161312,212.73846435546875,25.497228622436523,spiral
588017702938279971,198.13671875,11.728964805603027,elliptical
587742061064355877,163.83753967285156,20.76567840576172,elliptical
587729752211915020,257.5530090332031,30.30821228027344,spiral
587729777453367603,235.29107666015625,-1.7061913013458252,spiral
587739828749402354,240.5177764892578,17.075851440429688,elliptical
588011124656570455,213.7267608642578,60.011112213134766,elliptical
587735349099954195,156.44276428222656,13.716849327087402,spiral
588016891177140229,160.0023956298828,39.12222671508789,spiral
588297865802350606,171.0722198486328,47.84751892089844,elliptical
587739648895942786,176.10740661621094,33.355072021484375,spiral
588298662500761618,187.54937744140625,47.006309509277344,elliptical
587731874460991570,121.36714935302734,35.94668960571289,irregular
587729652353859608,256.7279663085937,30.269756317138672,spiral
587739505014603871,205.7868194580078,30.33773422241211,spiral
587739814246023211,246.40870666503903,16.45503044128418,elliptical
587729158980304916,226.4856414794922,3.707309007644653,spiral
587728880346202204,167.602294921875,4.830042362213135,spiral
587739707947221123,216.992431640625,26.50450325012207,elliptical
587739707957772430,241.38034057617188,17.9636287689209,spiral
587729155745710112,183.20684814453125,65.8150863647461,elliptical
587742578068422690,222.3016357421875,17.020936965942383,spiral
587742014352982080,173.3752899169922,22.455867767333984,elliptical
588011219135234063,204.7984771728516,61.50603866577149,elliptical
587742615637328049,244.39675903320312,13.492033004760742,elliptical
588017705072394311,166.9237518310547,13.025664329528809,elliptical
587729752204836993,245.6619873046875,43.46464157104492,elliptical
587733608555020553,249.2263336181641,36.42348861694336,spiral
588015509814444216,18.739959716796875,0.4308028519153595,elliptical
587725775602385217,112.47625732421876,37.4517707824707,spiral
587729386063331458,129.685302734375,43.54754638671875,spiral
587736478670651498,230.89686584472656,9.346151351928713,elliptical
587725775605596305,117.34156036376952,43.7672233581543,elliptical
588015510337421323,346.9539489746094,0.9405182003974916,elliptical
587739407313928198,170.72311401367188,34.34092330932617,spiral
587742576461480147,230.53260803222656,13.92821979522705,spiral
587731522815983870,131.55877685546875,41.57980346679688,spiral
587742013837672581,225.68069458007807,17.252521514892578,elliptical
587736547388686525,234.0767822265625,5.665364742279053,spiral
587741489834426496,166.8257598876953,28.52776336669922,spiral
587729652348289124,247.64129638671875,40.53942489624024,elliptical
