dr7objid,ra,dec,label
587739721916022811,231.2426147460937,22.72258949279785,other
587732702870044837,169.77630615234375,7.553177356719971,other
587725039025586305,196.9100646972656,-3.658386468887329,other
587727942952878329,133.2215576171875,1.0330122709274292,elliptical
587739829273034871,209.2568359375,26.24783134460449,spiral
588297863119110241,175.32766723632812,46.136192321777344,other
588010877695885520,204.1662750244141,3.6141202449798575,spiral
587730022260605064,233.03564453125,4.747654914855957,other
587739608621842463,169.9167938232422,31.246570587158203,spiral
588017605231575208,216.96682739257807,40.630149841308594,elliptical
588007004166815803,140.01507568359375,55.9311408996582,elliptical
587739131348517199,222.81002807617188,30.69223022460937,other
587737810103763265,115.41658782958984,45.05834579467773,elliptical
587742060522569865,152.2371826171875,18.45897483825684,elliptical
587738195049381951,145.13307189941406,66.67420196533203,other
587724650864574562,172.92271423339844,-1.393855333328247,other
587724649798893608,191.3976287841797,-2.1184329986572266,other
588010136803606585,137.57196044921875,53.07258224487305,elliptical
587737809035853966,127.81269073486328,55.736846923828125,other
588848901519114379,170.46986389160156,1.088595271110535,spiral
587736477058138392,226.38511657714844,8.793843269348145,other
587738617021857917,159.3246612548828,34.67988967895508,other
587733609626599592,246.028060913086,40.744911193847656,spiral
588297865250472179,129.9376678466797,32.91501235961914,other
587738195050758335,151.68003845214844,68.54180908203125,other
588010359624368303,182.94590759277344,5.224043369293213,elliptical
587725980153544894,131.5139617919922,54.35286331176758,other
587739719763951778,219.7959442138672,24.577503204345703,other
587735348554694930,137.15647888183594,10.388237953186035,spiral
587724649254617250,174.4747772216797,-2.600511074066162,other
588009367478730888,158.1757354736328,60.09001922607422,other
588018056183611584,204.63253784179688,51.16385269165039,spiral
587736479204376606,223.6736602783203,10.69670295715332,spiral
588007004701523974,133.05963134765625,52.88994598388672,spiral
587732136992964773,169.8981475830078,52.754730224609375,elliptical
587741491448709245,176.19229125976562,30.710426330566406,spiral
587739647276023973,152.1645965576172,28.011638641357425,other
588017720640012392,169.57289123535156,41.1903076171875,spiral
587732701258252300,167.0557098388672,6.197019100189209,other
587731679047057486,139.5557098388672,43.91155242919922,other
587732577767981216,148.6739044189453,5.724997997283936,elliptical
588017702919602241,154.7399139404297,10.278639793395996,spiral
587728949589770275,162.1900634765625,0.4221368432044983,spiral
587731870171398307,181.7453765869141,55.74517440795898,spiral
587729652891517328,258.106689453125,28.86012840270996,spiral
588017625628475548,215.38638305664065,40.04733276367188,spiral
587742013835509941,220.6183319091797,18.49023628234864,spiral
588011218060771549,201.3265686035156,61.260841369628906,spiral
587732156314812778,118.3270263671875,24.641775131225582,spiral
587738065661395072,131.4784393310547,60.60625076293945,elliptical
587729409152123071,250.3404998779297,42.67068862915039,other
587736542548787310,200.62896728515625,9.709491729736328,other
